SchoolYear,Total Enrolled in an IHE within 0-48 months,Total % Enrolled in an IHE within 0-48 months,Total Accumulating 24 Credits within 0-12 months,Total % Accumulating 24 Credits  within 0-12 months,Total Accumulating 24 Credits within 0-16 months,Total % Accumulating 24 Credits  within 0-16 months,Total Accumulating 24 Credits within 0-24 months,Total % Accumulating 24 Credits  within 0-24 months,ISD Code,ISD OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,IHE Type,Subgroup,Gender,Total Graduates (All Students),Total Enrolled in an IHE within 0-6 months,Total % Enrolled in an IHE within 0-6 months,Total Enrolled in an IHE within 0-12 months,Total % Enrolled in an IHE within 0-12 months,Total Enrolled in an IHE within 0-16 months,Total % Enrolled in an IHE within 0-16 months,Total Enrolled in an IHE within 0-24 months,Total % Enrolled in an IHE within 0-24 months,Total Enrolled in an IHE within 0-36 months,Total % Enrolled in an IHE within 0-36 months
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,All,English Learners,All Students,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,Female,48,<10,18.75,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,All,All Students,Female,10,<10,40,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,Female,10,<10,40,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,All Students,25,<10,20,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,All,African American,Male,15,<10,53.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,All,Economically Disadvantaged,All Students,22,10,45.4546,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,All Students,25,<10,28,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,All,African American,All Students,25,12,48,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,Male,15,<10,20,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,All Students,25,<10,28,,,,,,,,
